"['time', 'Speed [km/h]']","['time', 'Steer [deg]']","['time', 'Yaw [deg]']","['time', 'ax [m/s²]']","['time', 'ay [m/s²]']","['time', 'az [m/s²]']"
1.97,40.86759910583496,156.49629954656695,60.815157426336455,-0.10381181538105011,6.907762050628662,-0.20977172255516052
1.98,40.921864700317386,155.87105036956564,63.12564649801168,-0.09877175092697144,6.896726608276367,-0.2088257521390915
1.99,40.96737899780273,155.31516859377498,65.04648693791603,-0.09697721898555756,6.886386871337891,-0.20813564956188202
2.0,41.003681945800786,154.85648040987363,66.5798644065839,-0.09654742479324341,6.877453804016113,-0.2075953483581543
2.0100000000000002,41.05767288208008,154.15451454811472,68.87404981671031,-0.09664826840162277,6.863576889038086,-0.20665886998176575
2.02,41.10227737426758,153.56326605280174,70.78025999141249,-0.09627879410982132,6.85182523727417,-0.20564058423042297
2.0300000000000002,41.15515594482422,152.85683324732565,73.06074404206386,-0.09775418788194656,6.837605953216553,-0.20446458458900452
2.04,41.18119010925293,152.50808378830482,74.19812080303272,-0.09917350113391876,6.83056640625,-0.20393462479114532
2.05,41.232218170166014,151.8268680412444,76.46719843777016,-0.10296443849802017,6.816963195800781,-0.20297399163246155
2.06,41.27356109619141,151.28278883233955,78.35247408266625,-0.10672388970851898,6.806450366973877,-0.20221735537052155
2.07,41.32165718078613,150.66594078801734,80.60840360325142,-0.11156005412340164,6.7951459884643555,-0.20132899284362793
2.08,41.34507865905762,150.37403216326933,81.73388217468613,-0.11400705575942993,6.790100574493408,-0.2008967101573944
2.09,41.39069595336914,149.82574555783575,83.98017429835241,-0.11891413480043411,6.781276702880859,-0.20009396970272064
2.1,41.42020797729492,149.48717308067822,85.4744625944003,-0.122215636074543,6.77630615234375,-0.19964224100112915
2.11,41.45610580444336,149.09367222221545,87.33896763403037,-0.1263679414987564,6.771031379699707,-0.1992209255695343
2.12,41.484035110473634,148.80161333330568,88.8280991372549,-0.12970469892024994,6.767499923706055,-0.19898253679275513
2.13,41.51798629760742,148.46323210144493,90.68668240287457,-0.1338755190372467,6.763876914978027,-0.1987859457731247
2.14,41.54438781738281,148.21252317777044,92.17149722654364,-0.13719825446605682,6.761562347412109,-0.19868826866149902
2.15,41.582757568359376,147.8672297944696,94.39565270710992,-0.14213891327381134,6.758988857269287,-0.19859595596790314
2.16,41.601399993896486,147.70747166978302,95.50648052277494,-0.14458349347114563,6.758079528808594,-0.1985604166984558
2.17,41.637627410888676,147.41150591266802,97.72593000300307,-0.1494160145521164,6.756936550140381,-0.19852201640605927
2.18,41.655226135253905,147.27441035564752,98.83464729021456,-0.15179456770420074,6.756686687469482,-0.19850680232048035
2.19,41.689417648315434,147.0199721486862,101.05030601545333,-0.1564735472202301,6.7567291259765625,-0.19846351444721222
2.2,41.711486434936525,146.865773797984,102.52622110263388,-0.15955573320388794,6.7571702003479,-0.1984388381242752
2.21,41.73827247619629,146.69598895559582,104.36997602756546,-0.1634020209312439,6.7584733963012695,-0.19844062626361847
2.22,41.759081268310545,146.57152924853986,105.84419039764268,-0.16639545559883118,6.759743690490723,-0.19847823679447174
2.23,41.78433952331543,146.42481678516796,107.68615581301171,-0.17003953456878662,6.761509895324707,-0.1985582560300827
2.24,41.803963851928714,146.3131841733733,109.1591475792275,-0.172885462641716,6.763020992279053,-0.19864679872989655
2.25,41.82308006286621,146.1813478620137,110.99974695676254,-0.17636685073375702,6.76501989364624,-0.19878913462162018
2.2600000000000002,41.84628868103027,146.08198226996836,112.47175517573783,-0.17908786237239838,6.766679763793945,-0.198923259973526
2.27,41.86431655883789,145.98709728201854,113.94339456449795,-0.18174616992473602,6.768354415893555,-0.19906359910964966
